"","p","d","q","Mean Error","Root Mean Squared Error","Mean Absolute Error","Mean Percentage Error","Mean Absolute Percentage Error","Mean Absolute Scaled Error","Autocorrelation of errors at lag 1"
"91",2,1,10,-0.259332928268783,20.6099408567299,14.033228822546,-53.1061483795351,76.6931987584383,0.896094576852968,0.00103992249930419
"92",2,1,11,-0.258826730419382,20.60195045898,14.0243610186302,-52.8813095319976,76.7933594898383,0.895528321495916,0.000355312153100656
"93",2,1,12,-0.255529870597694,20.5964941748264,14.0223238737226,-52.4529186407581,76.6230609821113,0.895398239208577,-0.00107051926912447
"94",2,1,13,-0.264875722838528,20.5666142360454,14.0716298953199,-54.6396254265471,79.332479258739,0.898546684881218,0.00768721923391066
"95",2,1,14,-0.238344101781919,20.4726186641307,13.9546609255773,-53.9464235575517,77.8152353988366,0.89107760839342,0.00727704643381623
"96",2,1,15,-0.117775323870229,20.5768106152202,14.2202920302174,-42.2151173508667,72.8389148253003,0.908039534641568,0.000808436564567224
"97",3,0,0,-0.00295378082528373,21.7391132226142,14.6425911021626,-52.981237843328,70.8535123997035,0.935005524647528,-0.0282272933470781
"98",3,0,1,-0.0153230265378038,21.4810497316911,14.5867222492167,-53.7821239423122,72.4998081595956,0.931438008092865,0.00120047154820017
"99",3,0,2,-0.0133697625349272,21.4780174501352,14.5814618530984,-53.7048174703608,72.4121851188362,0.931102104467743,0.00259802390069624
"100",3,0,3,-0.0142284930174893,21.4819511907458,14.5865536388585,-53.7039145727034,72.448434632794,0.931427241445399,-0.000615350930746578
"101",3,0,4,0.0200248246368557,21.4694590693653,14.5554162785522,-53.1859041025659,71.9008132644617,0.929438959200389,0.000900422094427008
"102",3,0,5,-0.00109570600001953,21.6762946570878,14.6175210165786,-51.925928225945,70.0474654825933,0.933404669419045,0.00101881554151028
"103",3,0,6,0.0193529005747089,21.6737337484989,14.6168026739486,-51.9123197463176,70.055720682843,0.933358799509619,0.000562944204161052
"104",3,0,7,-0.00539345233626539,21.6734596406341,14.6230440627757,-52.1909994005682,70.2699088196295,0.933757344616431,0.00043746000852216
"105",3,0,8,0.00743786547677587,20.6112114373222,14.0089608212665,-50.6109524757377,74.2527413336026,0.894544938874956,-0.000584648290928094
"106",3,0,9,-0.0246995914456175,20.6107404563452,14.0186462383306,-50.9511498211036,74.5569741763463,0.895163403079835,0.000564276712182124
"107",3,0,10,-0.011359936568636,20.595968600789,14.0084469457188,-50.7908768834998,75.1164916016077,0.89451212525114,0.00166676491109024
"108",3,0,11,-0.0108623757708086,20.5824700326345,13.9937505315751,-50.4475797391171,75.1826587352187,0.893573682845629,0.000690672076963724
"109",3,0,12,-0.00851285020401389,20.5806175789661,13.9917830068871,-50.2080398282621,75.0640189726954,0.893448046171057,-0.000147073001469479
"110",3,0,13,0.0159381829192543,20.5583770229243,14.0287192628307,-51.9007299776047,77.3148978314909,0.895806618033517,0.00759054574680958
"111",3,0,14,0.0366159793111747,20.4505326632309,13.9072613810726,-51.4133893746036,76.015782251452,0.888050901189174,0.0071444355149784
"112",3,0,15,0.014481592440551,20.4393873459551,13.9102248354983,-51.0968920481562,76.1770320472296,0.888240133152338,0.00687334101912764
"113",3,1,0,0.000802060432827782,22.7241249926206,14.8500446799828,-7.79693442434028,45.2134289748335,0.948252513518315,0.00201881315839081
"114",3,1,1,0.00110859700441594,22.7077658579176,14.8428108755389,-7.93578824704412,45.4546534680444,0.947790597517788,0.00319892972874201
"115",3,1,2,0.00486736855575453,22.5322156828562,14.7830798430183,-11.2051588377609,48.0915567584011,0.943976460729425,-0.000491846707685132
"116",3,1,3,0.00461939921142266,22.530844533739,14.776380806385,-10.7895919278695,47.9284399168372,0.943548692432257,-0.000166438211280084
"117",3,1,4,0.00496815488562419,22.5342498159049,14.7873684599636,-11.4976030965977,48.1868691482089,0.944250311204999,0.000604425017483307
"118",3,1,5,0.00500507397385424,22.5306256597632,14.7791909723923,-11.0578966638261,48.0686451121136,0.943728136133419,6.08219903631854e-06
"119",3,1,6,-0.11762138427243,21.6762402119934,14.633623322717,-52.5462141584124,70.5608209553717,0.934432885333422,0.000691834317966359
"120",3,1,7,-0.118590343797148,21.6743666351996,14.639288239696,-52.6222532160472,70.645343545526,0.934794619717395,0.000927164945521067
"121",3,1,8,0.0573720220094128,20.6744642430526,13.8136521957066,-46.416919717658,69.2642349518883,0.882073468311052,-0.00165077252646068
"122",3,1,9,-0.25328260323275,20.6111177944812,14.0402545913335,-52.7447067005146,75.610666745059,0.896543208695883,-0.00108822091925561
"123",3,1,10,0.0567433782227837,20.6309713799793,13.7925729546301,-45.0885026342154,68.7377213524488,0.880727449240768,0.00657402725198814
"124",3,1,11,0.0559486958019543,20.542026938416,13.7235393992008,-42.9829988140852,67.6406803161171,0.876319298028865,0.00682618685967921
"125",3,1,12,0.0533948028875372,20.4800444187543,13.7263494730211,-41.4854661319857,67.9330253570635,0.87649873584341,0.00327040533514134
"126",3,1,13,-0.256721668858673,20.5806953614443,14.0270305826164,-52.2688641362054,76.3874797613216,0.895698787027467,-0.00161460746080379
"127",3,1,14,-0.264743904875593,20.5586652740536,14.0656397668187,-54.2914322549182,78.7446074382046,0.898164184051761,0.00632031327769047
"128",3,1,15,-0.236483833906049,20.4497498625824,13.9339433086689,-53.4880237531954,77.0576465108769,0.88975468090526,0.00739977608487657
"129",4,0,0,-0.00399043106782054,21.5765786048222,14.601133451021,-54.5864345619143,72.2972751810358,0.932358238208545,-0.00272118793222448
"130",4,0,1,-0.0111260919178004,21.4726781005163,14.5675726848359,-53.5287279424865,72.1527836399358,0.930215208906186,4.8112718981903e-05
"131",4,0,2,-0.0242950694389428,21.4810509317711,14.5895711516704,-53.8467388476834,72.5629987669448,0.931619925317407,0.0011571700392921
"132",4,0,3,0.0544126621452393,21.4564017457727,14.5935128468158,-53.1007849176975,72.9813221266487,0.931871623033451,-0.00935211804166619
"133",4,0,4,-0.0293485772695755,21.4528438755753,14.6034941236452,-54.0289212576091,73.4919998829163,0.932508979421637,-0.000416937217853743
"134",4,0,5,-0.0163870321917268,21.4411308921221,14.5656633329642,-53.6819663944651,72.8848106831248,0.930093286868198,0.000593747342095054
"135",4,0,6,0.0160758498466438,21.6586216623354,14.6241948657417,-52.2371090162014,70.3481932968265,0.93383082936537,-0.000504189067329723
"136",4,0,7,-0.119096641307993,21.3177268737662,14.6989415729138,-54.2170853763935,77.7845182371132,0.938603795001544,0.00322285971903772
"137",4,0,8,-0.0244340264638523,21.6453881204308,14.5974374863225,-51.8961818004731,69.9644477905485,0.932122231658347,0.00121142467651683
"138",4,0,9,-0.109264866733436,20.6273623525729,14.0189440310836,-51.8129085223512,75.2432867801301,0.895182418694447,0.000435801889632397
"139",4,0,10,-0.0981660247465544,20.5634847118771,14.058639621998,-51.6551705539792,75.6208159930421,0.897717188432272,-0.000959217793707676
"140",4,0,11,-0.00532447632338602,20.5880978310471,14.0255460178257,-51.18294553608,76.593130538519,0.895603989851793,0.00240267054940053
